이미지 파일 경로, 국기
flags/SY.gif,시리아
flags/SL.gif,시에라리온
flags/SG.gif,싱가포르
flags/AE.gif,아랍에미리트
flags/AW.gif,아루바
flags/AM.gif,아르메니아
flags/AR.gif,아르헨티나
flags/IS.gif,아이슬란드
flags/HT.gif,아이티
flags/IE.gif,아일랜드
flags/AZ.gif,아제르바이잔
flags/AF.gif,아프가니스탄
flags/AD.gif,안도라
flags/AL.gif,알바니아
flags/DZ.gif,알제리
flags/AO.gif,앙골라
flags/AG.gif,앤티가바부다
flags/AI.gif,앵귈라
flags/ER.gif,에리트레아
flags/SZ.gif,에스와티니
flags/EE.gif,에스토니아
flags/EC.gif,에콰도르
flags/ET.gif,에티오피아
flags/SV.bmp,엘살바도르
flags/GB.gif,영국
flags/AQ.gif,영국령 남극지역
flags/VG.gif,영국령 버진 아일랜드
flags/IO.gif,영국령 인도양 제도
flags/YE.gif,예멘
flags/OM.gif,오만
flags/AT.gif,오스트리아
flags/HN.gif,온두라스
flags/WF.gif,왈리스·퓌튀나
flags/JO.gif,요르단
flags/UG.gif,우간다
flags/UY.gif,우루과이
flags/UZ.gif,우즈베키스탄
flags/UA.gif,우크라이나
flags/IQ.gif,이라크
flags/IR.gif,이란
flags/IL.gif,이스라엘
flags/EG.gif,이집트
flags/IT.gif,이탈리아
flags/IN.gif,인도
flags/ID.gif,인도네시아
flags/JP.gif,일본
flags/JM.gif,자메이카
flags/ZM.gif,잠비아
flags/JE.gif,저지
flags/GQ.gif,적도기니
flags/GE.gif,조지아
flags/CN.gif,중국
flags/CF.gif,중앙아프리카공화국
flags/DJ.gif,지부티
flags/GI.gif,지브롤터
flags/ZW.gif,짐바브웨
flags/TD.gif,차드
flags/CZ.gif,체코
flags/CL.gif,칠레
flags/CM.gif,카메룬
flags/CV.gif,카보베르데
flags/KZ.gif,카자흐스탄
flags/QA.gif,카타르
flags/KH.jpg,캄보디아
flags/CA.gif,캐나다
flags/KE.png,케냐
flags/KY.gif,케이맨제도
flags/KM.gif,코모로
flags/XK.gif,코소보
flags/CR.gif,코스타리카
flags/CI.gif,코트디부아르
flags/CO.gif,콜롬비아
flags/CG.gif,콩고공화국
flags/CD.gif,콩고민주공화국(DR콩고)
flags/CU.gif,쿠바
flags/KW.gif,쿠웨이트
flags/CK.gif,쿡제도
flags/HR.gif,크로아티아
flags/KG.gif,키르기즈
flags/KI.gif,키리바시
flags/TW.gif,타이완
flags/TJ.gif,타지키스탄
flags/TZ.gif,탄자니아
flags/TH.gif,태국
flags/TC.gif,터크스·케이커스 제도
flags/TR,Turkey,터키
flags/TG.gif,토고
flags/TO.gif,통가
flags/TM.gif,투르크메니스탄
flags/TV.gif,투발루
flags/TN.gif,튀니지
flags/TT.gif,트리니다드토바고
flags/PA.gif,파나마
flags/PY.gif,파라과이
flags/PK.gif,파키스탄
flags/PG.png,파푸아뉴기니
flags/PW.gif,팔라우
flags/PS.gif,팔레스타인
flags/PE.gif,페루
flags/PT.gif,포르투갈
flags/PL.png,폴란드
flags/FR.gif,프랑스
flags/GF.gif,프랑스령 기아나
flags/PF.gif,프랑스령 폴리네시아
flags/FJ.gif,피지
flags/FI.gif,핀란드
flags/PH.gif,필리핀
flags/PN.gif,P핏케언 섬
flags/HU.gif,헝가리
flags/AU.gif,호주
